english_label,french_label,latin_label,q_identifier,mediate_label,viaf_id,mediate_nb_items,mediate_nb_collections,english_aliases,french_aliases,latin_aliases,writing_languages
Lucretius,Lucrèce,Lucretius,Q47154,"Lucretius, Titus Carus",106388020,631,301,"[""Titus Lucretius Carus"", ""T. Lucretius Carus"", ""Titus Carus Lucretius""]",[],"[""Titus Lucretius Carus"", ""T.Lucretius Carus"", ""Lucretius Carus Poeta""]","[""Latin""]"
Lucian of Samosata,Lucien de Samosate,Lucianus Samosatensis,Q177847,Lucian of Samosata,100218901,525,292,"[""Lucian"", ""Lucianus"", ""Loukianos"", ""Lucianus Samosatenus""]",[],"[""Lucianus Sophista"", ""Lucianus""]","[""Ancient Greek""]"
Pliny the Younger,Pline le Jeune,Gaius Plinius Caecilius Secundus,Q168707,,10638270,525,279,"[""the Younger Pliny"", ""Gaius Plinius Caecilius Secundus"", ""Gaius Caecilius Cilo"", ""C. Plinius Caecilius Secundus""]","[""Gaius Plinius Caecilius Secundus"", ""Caius Plinius Lucius filius Oufentina tribu Caecilius Secundus""]","[""C. Plinius Caecilius Secundus"", ""Caius Plinius Caecilius Secundus"", ""Plinius Minor""]","[""Latin""]"
Lucan,Lucain,Lucanus,Q188646,Lucan (Marcus Annaeus Lucanus),100902938,501,278,"[""Marcus Annaeus Lucanus"", ""Lucanus""]","[""Marcus Annaeus Lucanus""]","[""Marcus Annaeus Lucanus"", ""M. Annaeus Lucanus"", ""Lucanus Poeta""]","[""Latin""]"
Cornelius Nepos,Cornélius Népos,Cornelius Nepos,Q109594,Cornelius Nepos,100219060,478,271,[],"[""Cornelius Nepos"", ""Corn\u00e9lius Nepos""]","[""Cornelius Nepos Historicus""]","[""Latin""]"
Xenophon,Xénophon,Xenophon,Q129772,Xenophon of Athens,89597697,569,270,"[""Xenophon of Athens""]","[""Xenophon""]","[""Xenophon Historicus"", ""Xenophon Atheniensis""]","[""Ancient Greek""]"
Theophrastus,Théophraste,Theophrastus,Q160362,Theophrastus,265397758,419,268,"[""Theophrastus of Eresos"", ""Theophr.""]","[""Theophraste"", ""Theophrastus"", ""Th\u00e9ophraste d'Ath\u00e8nes"", ""Theophr.""]","[""Theophrastus Philosophus"", ""Tyrtamus"", ""Theophrastus Eresius""]","[""Ancient Greek""]"
Lucius Annaeus Florus,Florus,Lucius Annaeus Florus,Q316483,"Florus, Lucius Annaeus",89604346,489,266,"[""Julius Florus"", ""Florus"", ""Iulius Florus""]",[],"[""Florus"", ""Florus Historicus""]","[""Latin""]"
Persius,Perse,Aulus Persius Flaccus,Q332785,Persius (Aulus Persius Flaccus),100198157,579,263,"[""Aulus Persius Flaccus""]","[""Aulus Persius Flaccus""]","[""Aulus Flaccus Persius"", ""Persius Poeta"", ""Persius""]","[""Latin""]"
Aristotle,Aristote,Aristoteles,Q868,Aristotle,7524651,870,263,"[""the Stagirite""]",[],"[""Aristoteles Pellaeus"", ""Aristoteles Atheniensis"", ""Aristoteles Stagirites""]","[""Attic Greek""]"
Augustine of Hippo,Augustin d’Hippone,Augustinus,Q8018,Augustine of Hippo,66806872,750,263,"[""St. Augustine of Hippo"", ""St. Augoustinos"", ""Augustinus"", ""bishop of Hippo"", ""Aurelius Augustinus Hipponensis"", ""Augustine"", ""Aurelius Augustinus"", ""Aurelius Augustine"", ""Saint Austin"", ""Saint Augustine"", ""St. Augustine"", ""Saint Augustine of Hippo"", ""Aurelius""]","[""Augustin d'Hippone"", ""saint Augustin""]","[""Aurelius Augustinus"", ""Augustinus Aurelius""]","[""Latin""]"
Herodotus,Hérodote,Herodotus,Q26825,,100225976,359,258,"[""Herodotos"", ""Herodotus of Halicarnassus"", ""Father of History""]","[""H\u00e9rodote d'Halicarnasse"", ""Herodote"", ""H\u00e9rodote de Thourioi""]","[""Herodotus Halicarnassensis""]","[""Ancient Greek""]"
Martial,Martial,Marcus Valerius Martialis,Q2098,"Martial, Marcus Valerius",8099277,507,256,"[""Marcus Valerius Martialis""]","[""Marcus Valerius Martialis""]","[""Martialis Epigrammaticus"", ""Martialis""]","[""Latin""]"
Justinian I,Justinien,Iustinianus I,Q41866,Justinian I (emperor),88881722,718,255,"[""Flavius Petrus Sabbatius Justinianus Magnus"", ""Imperator Caesar Flavius Iustinianus Alamannicus Gothicus Francicus Germanicus Anticus Alanicus Vandalicus Africanus pius felix inclitus victor ac triumphator semper Augustus"", ""Ioustinianos I"", ""Imperator Caesar Flavius Petrus Sabbatius Iustinianus Augustus"", ""Petrus Sabbatius"", ""Fl\u0101vius Petrus Sabbatius J\u016bst\u012bni\u0101nus"", ""Petrus Sabbatius Iustinianus"", ""Justinian the Great"", ""Iustinianus I"", ""Flavius Petrus Sabbatius Justinianus""]","[""Justinien Ier"", ""Justinien le Magne""]","[""Iustinianus I."", ""Iustinianus"", ""Iustinianus Imperator"", ""Justinianus I""]","[""Latin""]"
Phaedrus,Phèdre,Phaedrus,Q52166,"Phaedrus, Gaius Julius",100219094,448,246,"[""Gaius Julius Phaedrus"", ""Ph\u00e6drus""]",[],"[""Gaius Iulius Phaedrus"", ""Phaedrus Scriptor fabularum""]","[""Latin""]"
Euclid,Euclide,Euclides,Q8747,,176184097,549,243,"[""Euclides"", ""Eukleides"", ""Euclid of Alexandria""]",[],"[""Euclides Alexandrinus"", ""Euclides Mathematicus"", ""Euclides Geometra""]","[""Ancient Greek""]"
Epictetus,Épictète,Epictetus,Q183144,Epictetus,100218891,436,240,"[""Epiktetos"", ""Epictetus of Hierapolis""]","[""Epictete"", ""Epict\u00e8te""]","[""Epictetus Hierapolitanus"", ""Epictetus Philosophus""]","[""Ancient Greek""]"
Tibullus,Tibulle,Albius Tibullus,Q109598,,100219266,416,239,"[""Tibullus Albius"", ""Albius Tibullus""]","[""Tibullus""]","[""Tibullus""]","[""Latin""]"
Catullus,Catulle,Gaius Valerius Catullus,Q163079,"Catullus, Gaius Valerius",100218993,425,230,"[""Gaius Valerius Catullus"", ""Caius Valerius Catullus""]","[""Caius Valerius Catullus"", ""Catullus""]","[""Caius Valerius Catullus"", ""Catullus""]","[""Latin""]"
Thucydides,Thucydide,Thucydides,Q41683,,95161463,315,227,[],"[""Thucidide"", ""Thucydide d'Ath\u00e8nes""]","[""Thucydides Historicus"", ""Thucydides Atheniensis""]","[""Ancient Greek""]"
Valerius Maximus,Valère Maxime,Valerius Maximus,Q379991,,25395604,365,227,"[""Quintus V. Maximus"", ""Caius Valerius Maximus""]","[""Valere Maxime"", ""Valerius Maximus"", ""Val\u00e8re-Maxime""]","[""Valerius Maximus Historicus""]","[""Latin""]"
Quintilian,Quintilien,Marcus Fabius Quintilianus,Q193769,"Quintilian, Marcus Fabius",34451872,401,226,"[""Marcus Fabius Quintilian"", ""Marcus Fabius Quintilianus""]",[],"[""Quintilianus"", ""Quintilianus Rhetor""]","[""Latin""]"
Petronius,Pétrone,Publius Petronius Niger,Q47180,"Petronius Arbiter, Gaius",95155909,389,225,"[""Petronius Arbiter"", ""Publius Petronius Niger"", ""Titus Petronius Niger"", ""Gaius Petronius Arbiter""]","[""Petronius Arbiter"", ""Petrone""]","[""T. Petronius Arbiter"", ""Petronius"", ""Petronius Arbiter"", ""C. Petronius"", ""T. Petronius"", ""Petronius Niger"", ""Titus Petronius Arbiter"", ""Gaius Petronius""]","[""Latin""]"
Plato,Platon,Plato,Q859,,108159964,430,220,[],[],"[""Plato Philosophus""]","[""Attic Greek""]"
Marcus Velleius Paterculus,Velleius Paterculus,Velleius Paterculus,Q316098,Velleius Paterculus,100171160,324,219,"[""Velleius Paterculus""]","[""Caius Velleius Paterculus"", ""Marcus Velleius Paterculus""]","[""Velleius Paterculus Historicus""]","[""Latin""]"
Aesop,Ésope,Aesopus,Q43423,Aesop,64013451,343,217,"[""Aesopus"", ""\u00c6\u017fop"", ""\u00c6sop"", ""Esop"", ""E\u017fope""]","[""Aesopus"", ""Esope""]","[""Aesopus Scriptor fabularum""]","[""Ancient Greek""]"
Aristophanes,Aristophane,Aristophanes,Q43353,Aristophanes,20962036,389,215,"[""Father of Comedy""]",[],"[""Aristophanes Comicus""]","[""Ancient Greek""]"
Propertius,Properce,Sextus Propertius,Q8827,"Propertius, Sextus",100907186,368,214,"[""Sextus Aurelius Propertius"", ""Sextus Propertius""]",[],"[""Propertius""]","[""Latin""]"
Demosthenes,Démosthène,Demosthenes,Q117253,Demosthenes,268302412,449,212,"[""Dimosthenis""]",[],"[""Demosthenes Atheniensis"", ""Demosthenes Orator""]","[""Ancient Greek""]"
Eusebius of Caesarea,Eusèbe de Césarée,Eusebius Caesariensis,Q142999,Eusebius of Caesarea,4929593,390,210,"[""Eusebius Pamphili"", ""Eusebius""]",[],"[""Eusebius Pamphilus"", ""Eusebius Scriptor ecclesiasticus"", ""Eusebius Pamphili"", ""Eusebius Theologus""]","[""Ancient Greek""]"
Sophocles,Sophocle,Sophocles,Q7235,Sophocles,101760867,434,210,[],[],"[""Sophocles tragicus"", ""Sophocles Tragicus""]","[""Ancient Greek""]"
Hippocrates,Hippocrate,Hippocrates,Q5264,Hippocrates of Kos,287984736,703,197,"[""Hippokrates of Kos"", ""Hippocrates II"", ""Hippokrates"", ""Hippocrates of Cos""]",[],"[""Hippocrates Medicus"", ""Hippocrates Cous""]","[""Ancient Greek""]"
Aulus Gellius,Aulu-Gelle,Aulus Gellius,Q294800,Aulus Gellius,100198334,285,196,"[""Gellius"", ""Aulus Gellus"", ""Agellius""]","[""Aulus-Gellius"", ""Aulu Gelle"", ""Aulus Gellius""]","[""Gellius""]","[""Latin""]"
Polybius,Polybe,Polybius,Q131169,Polybius,18152380130901762264,284,196,"[""Polybius of Megalopolis""]","[""Pol\u00fabios"", ""Polybius""]","[""Polybius Historicus"", ""Polybius Megalopolitanus""]","[""Ancient Greek""]"
Boethius,Boèce,Anicius Manlius Torquatus Severinus Boethius,Q102851,"Boethius, Anicius Manlius Severinus",100218964,280,188,"[""Anicius Manlius Severinus Bo\u00ebthius"", ""Anicus Manlius Severinus Boethius"", ""Anicius Manlius Torquatus Severinus Boethius""]","[""S\u00e9verin Bo\u00e8ce"", ""Boethius"", ""Boetius"", ""Anicius Manlius Severinus Boethius"", ""Anicius Bo\u00e8ce"", ""Bo\u00ebce""]","[""Anicius Manlius Torquatus Severinus Bo\u00ebthius"", ""Boethius"", ""Anicius Manlius Severinus Bo\u00ebthius"", ""Anicius Manlius Severinus Boethius"", ""Bo\u00ebthius"", ""Severinus Boethius"", ""Anicius Manlius Severinus Boetius""]","[""Latin""]"
Euripides,Euripide,Euripides,Q48305,Euripides,9553153063127619320004,342,181,[],[],"[""Euripides Tragicus""]","[""Ancient Greek""]"
Apuleius,Apulée,Lucius Apuleius,Q170512,Apuleius,32115433,273,179,"[""Lucius Apuleius""]","[""Apulee""]","[""Apuleius Madaurensis"", ""Lucius Apuleius Madaurensis"", ""Apuleius""]","[""Latin""]"
Lactantius,Lactance,Lucius Caecilius Firmianus Lactantius,Q209102,"Lactantius, Lucius Caecilius",100198064,267,174,"[""Lucius Caelius Firmianus Lactantius"", ""Lucius Caecilius Firmianus Lactantius""]","[""Lucius Caecilius Firmianus Lactantius""]","[""Lactantius"", ""Lactantius Firmianus"", ""Lucius Caecilius Firmanius Lactantius""]","[""Latin""]"
Pindar,Pindare,Pindarus,Q134929,Pindar,100181310,317,164,"[""Pindaros"", ""Pindarus"", ""Dirc\u00e6an Swan""]",[],"[""Pindarus Poeta"", ""Pindarus Boeotus"", ""Pindarus Lyricus""]","[""Ancient Greek""]"
Diogenes Laërtius,Diogène Laërce,Diogenes Laertius,Q59138,Diogenes Laërtius,41839141,220,162,"[""Diogenes Laertius""]","[""Diog\u00e8ne de La\u00ebrte"", ""Diog\u00e8ne de Laerte"", ""Diogene Laerce"", ""Diog\u00e8ne Laerce"", ""Diogenes Laertius"", ""Diog\u00e8ne de La\u00ebrt\u00e8s""]","[""Diogenes Laertios"", ""Diogenes La\u00ebrtius"", ""Diogenes Laertius Biographus""]","[""Ancient Greek""]"
Marcus Aurelius,Marc Aurèle,Marcus Aurelius,Q1430,Marcus Aurelius Antoninus (emperor),102895066,223,161,"[""Caesar Marcus Aurelius Antoninus Augustus"", ""Antoninus"", ""Marcus Annius Verus"", ""Marcus Aurelius Verus"", ""Verissimus"", ""Marcus Catilius Severus Annius Verus"", ""Marcus Aurelius Antoninus""]",[],"[""Marcus Aurelius Antoninus"", ""Marcus Aurelius Antoninus Philosophus"", ""Marcus Aurelius Antoninus Imperator""]","[""Latin"", ""Ancient Greek""]"
Hesiod,Hésiode,Hesiodus,Q44233,,122220717,260,160,"[""Hesiod of Ascra"", ""Hesiodus""]","[""Hesiode"", ""H\u00e9siode d'Ascra""]","[""Hesiodus Ascraeus"", ""Hesiodus Epicus""]","[""Ancient Greek""]"
Claudian,Claudien,Claudius Claudianus,Q205947,Claudian (Claudius Claudianus),246763674,224,160,"[""Claudianus"", ""Claudius Claudianus of Alexandria"", ""Claudius Claudianus""]","[""Claudius Claudianus"", ""Claudius Claudianus d'Alexandrie""]","[""Claudianus"", ""Claudius Claudianus Alexandrinus""]","[""Latin"", ""Ancient Greek""]"
Aelian,Claude Élien,Claudius Aelianus,Q313782,"Aelian, Claudius",306342544,241,159,"[""Ailianos"", ""Claudius \u00c6lianus"", ""Claudius Aelianus"", ""\u00c6lian""]","[""\u00c6lianus"", ""Claudius Aelianus"", ""\u00c9lien le Sophiste"", ""\u00c6lien""]","[""Aelianus""]","[""Ancient Greek""]"
Dionysius of Halicarnassus,Denys d'Halicarnasse,Dionysius Halicarnasseus,Q26204,,100218889,203,158,"[""Dionysios of Halikarnassos""]","[""Denys d'Halycarnasse""]","[""Dionysius Halicarnassensis"", ""Dionysius Halicarnassensis Historicus"", ""Dionysius Halicarnassensis Rhetor""]","[""Ancient Greek""]"
Isocrates,Isocrate,Isocrates,Q221182,Isocrates,36926979,245,156,"[""Isokrates"", ""Isokrat\u0113s""]","[""Isocrates""]","[""Isocrates Atheniensis"", ""Isocrates Orator""]","[""Ancient Greek""]"
Tertullian,Tertullien,Quintus Septimius Florens Tertullianus,Q174929,"Tertullian, Quintus Septimius",257902368,254,156,"[""Quintus Septimius Florens Tertullianus""]","[""Quintus Septimus Florens Tertullianus""]","[""Tertullianus Scriptor ecclesiasticus"", ""Quintus Septimus Florens Tertullianus"", ""Tertullianus""]","[""Latin""]"
Herodian,Hérodien,Herodianus,Q313056,Herodian of Antioch,87614586,209,154,"[""Herodianus""]","[""Herodien""]","[""Herodianus Historicus"", ""Herodianus Syrus""]","[""Ancient Greek""]"
Publius Papinius Statius,Stace,Publius Papinius Statius,Q243203,"Statius, Publius Papinus",100904338,204,150,"[""Statius""]","[""Stace"", ""Publius Papinius Statius""]","[""Statius"", ""Statius Poeta"", ""Papinius Statius""]","[""Latin""]"
Diodorus Siculus,Diodore de Sicile,Diodorus Siculus,Q171241,Diodorus Siculus,56608763,192,147,"[""Diodoros of Sicily"", ""Diodorus"", ""Diodoros"", ""Diodorus of Sicily""]","[""Diodorus Siculus""]","[""Diodorus"", ""Diodorus Siculus Historicus""]","[""Ancient Greek""]"
Appian,Appien,Appianus Alexandrinus,Q190368,Appian of Alexandria,100191271,196,146,"[""Appianus Alexandrinus"", ""Appianus of Alexandria"", ""Alexandreos"", ""Appian of Alexandria"", ""Appian\u00f2s Alexandre\u00fas""]","[""Appian"", ""Appien d'Alexandrie""]","[""Appianus""]","[""Ancient Greek""]"
Cassius Longinus,Longin,Cassius Longinus,Q436634,"Longinus, Cassius Dionysius",56631326,213,143,"[""Cassius Dionisius Longinus"", ""Dionysius Cassius Longinus""]",[],"[""Longinus Rhetor"", ""Dionysius Cassius Longinus"", ""Longinus Philosophus"", ""Cassius Longinus Philosophus"", ""Cassius Longinus Rhetor""]",[]
Sulpicius Severus,Sulpice Sévère,Sulpicius Severus,Q336704,Sulpicius Severus,30332452,184,141,[],"[""Saint Sulpice-S\u00e9v\u00e8re"", ""Sulpice-S\u00e9v\u00e8re"", ""Sulpice-Severe""]","[""Sulpitius Severus""]","[""Latin""]"
Arrian,Arrien,Lucius Flavius Arrianus,Q31845,Arrian of Nicomedia,100192636,202,139,"[""Arrian of Nicomedia"", ""Lucius Flavius Arrianus"", ""Flavius Arrian""]","[""Arrien de Nicom\u00e9die""]","[""Arrianus Nicomediensis"", ""Arrianus Bithynius"", ""Flavius Arrianus"", ""Arrianus Historicus"", ""Arrianus""]","[""Ancient Greek""]"
Theocritus,Théocrite,Theocritus,Q219484,,95161348,213,134,"[""Theocrates""]","[""Theocrite""]","[""Theocritus Bucolicus"", ""Theocritus Syracusanus"", ""Theocritus Syracusius"", ""Theocritus Poeta""]","[""Ancient Greek""]"
Ausonius,Ausone,Decimus Magnus Ausonius,Q234593,"Ausonius, Decimus Magnus",109786483,178,133,"[""Decimus Magnus Ausonius""]",[],"[""Decimius Magnus Ausonius"", ""D. Magnus Ausonius Burdigalensis"", ""Ausonius""]","[""Latin""]"
Pausanias,Pausanias le Périégète,Pausanias,Q192931,Pausanias,77132959,157,130,"[""Pausanias Periegetes""]","[""Pausanias"", ""Pausanias le Periegete""]","[""Pausanias Periegeta"", ""Pausanias Periegetes"", ""Pausanias Cappadocius""]","[""Ancient Greek""]"
Ptolemy,Claude Ptolémée,Claudius Ptolemaeus,Q34943,"Ptolemy, Claudius",54152998,176,127,"[""Claudius Ptolemeus"", ""Claudius Ptolemy"", ""Claudius Ptolemaeus"", ""Klaudios Ptolemaios""]","[""Claudius Ptolemaeus"", ""Claudius Ptolemeus""]","[""Ptolemaeus Alexandrinus"", ""Ptolem\u00e6us"", ""Ptolemaeus Astrologus"", ""Ptolemaeus Mathematicus"", ""Ptolemaeus"", ""Claudius Ptolem\u00e6us""]","[""Ancient Greek""]"
Silius Italicus,Silius Italicus,Tiberius Catius Asconius Silius Italicus,Q316123,,27071645,155,124,"[""Tiberius Catius Asconius Silius Italicus""]","[""Tiberius Catius Asconius Silius Italicus""]","[""Silius Italicus""]","[""Latin""]"
Aeschylus,Eschyle,Aeschylus,Q40939,,268526195,214,124,"[""Aeschylos"", ""\u00c6schylus""]","[""\u00c9chille"", ""\u00c9schyle"", ""Aiskh\u00falos""]","[""Aeschylus Tragicus"", ""Aeschylus Atheniensis"", ""Aeschylus tragicus""]","[""Ancient Greek""]"
Eutropius,Eutrope,Eutropius,Q314694,Eutropius,25396473,156,123,"[""Flavius Eutropius""]","[""Flavius Eutropius""]","[""Eutropius Historicus"", ""Flavius Eutropius""]","[""Latin""]"
Macrobius,Macrobe,Ambrosius Theodosius Macrobius,Q313934,,39387062,150,121,"[""Ambrosius Theodosius Macrobius"", ""Ambroise Th\u00e9odose Macrobe"", ""Macrobius Ambrosius Theodosius""]","[""Ambrosius Macrobius Theodosius""]","[""Macrobius Theodosius"", ""Macrobius Grammaticus"", ""Macrobius""]","[""Latin""]"
Justin Martyr,Justin de Naplouse,Iustinus Martyr,Q185117,Justin Martyr (saint),88878069,155,118,"[""Justin the Philosopher"", ""Saint Justin"", ""Justin"", ""Iustinus Martyr"", ""St. Justin""]","[""Justin le Martyr"", ""Justin martyr""]",[],"[""Ancient Greek""]"
Cassius Dio,Dion Cassius,Cassius Dio,Q185223,Cassius Dio,95167625,162,118,"[""Dion Cassius"", ""Dio Cassius""]","[""Cassius Dion"", ""Cassius Dio"", ""Dio Cassius""]","[""Cassius Dio Cocceianus"", ""Dio Cassius Historicus"", ""Cassius Dio Historicus"", ""Dio Cassius"", ""Lucius Cassius Dio Cocceianus""]","[""Ancient Greek""]"
Aeschines,Eschine,Aeschines,Q317089,Aeschines,161234357,188,116,"[""\u00c6schines""]",[],"[""Aeschines Atheniensis"", ""\u00c6schines"", ""Aeschines Orator""]","[""Ancient Greek""]"
Origen,Origène,Origenes,Q170472,Origen,95155322,182,115,"[""Origenes""]","[""Orig\u00e8ne d'Alexandrie"", ""Origene"", ""Orig\u00e8nes""]","[""Origenes Alexandrinus"", ""Origenes Adamantius"", ""Origenes Theologus""]","[""Koine Greek""]"
Sappho,Sappho,Sappho,Q17892,Sappho,78770488,155,115,"[""Sapphus"", ""Psappho"", ""Sapho""]","[""Sapho""]","[""Sappho Poeta"", ""Sappho Lyrica"", ""Sappho Lesbia""]","[""Ancient Greek""]"
John Chrysostom,Jean Chrysostome,Ioannes Chrysostomus,Q43706,John Chrysostom (saint),305214868,204,114,"[""Giovanni Crisostomo"", ""St. John Chrysostom"", ""Johannes Chrysostomus"", ""Saint John Chrysostom"", ""Ioannes Crisostomus"", ""Chrysostomus"", ""Chryssorhoas"", ""Joannes Chrysostomus"", ""Iohannes Antiochiensis"", ""Joannes Chrysostomos"", ""John I Chrysostom""]","[""saint Jean Bouche d\u2019Or"", ""Jean Ier Chrysostome"", ""Jean Chrysost\u00f4me""]","[""Iohannes Chrysostomus Scriptor ecclesiasticus"", ""Iohannes Chrysostomus"", ""Johannes Chrysostomus Scriptor ecclesiasticus"", ""Sanctus Iohannes Chrysostomus""]","[""Ancient Greek""]"
Strabo,Strabon,Strabo,Q45936,Strabo,100219883,132,114,"[""Strabo of Amaseia""]","[""Strabon d\u2019Amas\u00e9e""]","[""Strabo Geographus"", ""Strabo Amasiotes""]","[""Ancient Greek""]"
Ammianus Marcellinus,Ammien Marcellin,Ammianus Marcellinus,Q172198,Ammianus Marcellinus,89594750,133,109,"[""Ammianus""]","[""Amien Marcellin"", ""Ammianus Marcellinus"", ""Ammianus""]","[""Ammianus"", ""Ammianus Marcellinus Historicus""]","[""Latin""]"
